代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11824732.6200000010
真實報酬,1824732.6200000010
趨勢值,0.2051696458

選擇檔數,8
找到最佳解世代,2053
找到最佳解實驗,2
Stock#,AAPL,CSCO,CVX,INTC,MCD,TRV,UNH,XOM,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,17445,58004,11247,52192,13437,15574,17670,13881,
剩餘資金,65.7499999999,13.8000000000,8.4200000000,1.6000000000,90.2600000001,30.7599999999,24.2000000001,15.9500000000,
FS(95),1608145.8500000001,1428652.3200000001,1465267.5799999998,1562108.1600000001,1361930.2100000000,1485790.3600000001,1399664.9000000001,1426011.0800000001,11737570.4600000009,
FS(96),1602563.4500000000,1433292.6400000001,1484499.9500000000,1570458.8800000001,1369454.9299999999,1488905.1599999999,1422635.9000000004,1424622.9800000000,11796433.8899999987,
FS(97),1585990.7000000000,1440253.1199999999,1488436.3999999999,1576200.0000000000,1369589.3000000000,1473175.4200000002,1438538.9000000001,1441280.1799999999,11813464.0199999996,
FS(98),1584595.0999999999,1432712.6000000001,1495634.4799999997,1577765.7600000000,1369454.9299999999,1478782.0600000001,1439952.5000000000,1448914.7300000000,11827812.1600000001,
FS(99),1575000.3500000001,1422851.9200000002,1482025.6100000001,1591857.6000000001,1363542.6499999999,1474421.3400000001,1444370.0000000000,1426011.0800000001,11780080.5500000007,
FS(100),1576395.9500000000,1433872.6799999999,1475952.2299999997,1611690.5600000001,1365423.8300000001,1477380.3999999999,1454972.0000000002,1417821.2900000000,11813508.9400000013,
FS(101),1585816.2500000000,1429812.3999999999,1472465.6599999997,1606471.3600000001,1364080.1300000001,1470372.0999999999,1454088.5000000002,1416294.3799999999,11799400.7800000012,
FS(102),1604656.8500000001,1432712.6000000001,1466167.3400000001,1614300.1600000001,1363408.2800000000,1462740.8400000001,1448964.2000000002,1404911.9600000000,11797862.2299999986,
FS(103),1621229.6000000001,1441413.2000000002,1468304.2700000000,1612734.3999999999,1353733.6399999999,1465076.9399999999,1444546.7000000002,1397555.0300000000,11804593.7800000012,
FS(104),1631522.1499999999,1454754.1199999999,1468191.7999999998,1616909.7600000000,1357227.2600000000,1482831.2999999998,1447020.5000000002,1406994.1099999999,11865451.0000000000,
FS(105),1630824.3500000001,1451853.9200000002,1464705.2299999997,1616909.7600000000,1350911.8700000001,1473642.6400000001,1457622.5000000000,1409909.1199999999,11856379.3900000025,
FS(106),1640419.1000000001,1461134.5600000001,1475502.3499999999,1625260.4800000002,1356958.5200000000,1477068.9200000002,1472818.7000000002,1424067.7400000000,11933230.3700000010,
FS(107),1674262.3999999999,1463454.7200000000,1467404.5100000000,1619519.3600000001,1346074.5500000000,1472552.4600000000,1452851.6000000001,1424900.6000000001,11921020.2000000011,
FS(108),1663446.5000000000,1454174.0800000001,1460993.7200000000,1606993.2800000000,1344999.5900000001,1466167.1200000001,1447727.3000000003,1427399.1799999999,11871900.7699999996,
FS(109),1664144.3000000000,1475635.5600000001,1477751.7499999998,1612212.4800000002,1358167.8499999999,1474888.5600000001,1462040.0000000000,1437393.5000000000,11962234.0000000019,
