代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11954299.8399999999
真實報酬,1954299.8399999999
趨勢值,0.1193153143

選擇檔數,7
找到最佳解世代,2116
找到最佳解實驗,1
Stock#,AAPL,DIS,MRK,PG,VZ,WBA,XOM,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,8448,14277,24639,19852,29262,21836,18564,
剩餘資金,14.2000000000,14.3800000000,1.7800000001,21.0800000001,0.1600000000,59.8800000000,71.1999999999,
FS(109),1960541.5599999998,1669138.4500000000,1758487.2100000002,1648332.6400000001,1588634.1399999999,1611556.6799999999,1599359.8000000000,11836053.4799999986,
FS(110),1926073.7200000000,1658002.3899999999,1754791.3600000001,1626296.9200000002,1609995.3999999999,1601512.1199999999,1588778.3199999998,11765453.2299999986,
FS(111),1894816.1199999999,1638728.4399999999,1750109.9500000000,1630862.8800000001,1607654.4399999999,1583388.2400000000,1584322.9600000000,11689886.0299999993,
FS(112),1890423.1600000001,1656431.9199999999,1760704.7200000000,1635825.8800000001,1609995.3999999999,1619199.2800000000,1598988.5199999998,11771571.8799999990,
FS(113),1916611.9600000000,1668852.9099999999,1782387.0400000000,1631855.4800000002,1609117.5400000000,1606316.0400000000,1606042.8400000001,11821186.8100000005,
FS(114),1827823.4800000000,1611316.5999999999,1735819.3300000001,1616767.9600000000,1589804.6199999999,1579021.0400000000,1569100.4800000000,11529656.5099999979,
FS(115),1811687.7999999998,1586902.9299999999,1684570.2100000002,1565748.3200000001,1560542.6199999999,1548232.2800000000,1514893.5999999999,11272580.7599999998,
FS(116),1876399.4800000000,1607747.3499999999,1720050.3700000001,1569520.2000000002,1572247.4199999999,1605005.8799999999,1510809.5199999998,11461783.2199999988,
FS(117),1836271.4800000000,1619597.2599999998,1711426.7200000000,1590761.8400000001,1568443.3599999999,1631645.7999999998,1500413.6799999999,11458563.1400000006,
FS(118),1876737.3999999999,1658859.0099999998,1754791.3600000001,1608231.6000000001,1571369.5600000001,1665709.9600000000,1507468.0000000000,11643169.8900000006,
FS(119),1868627.3199999998,1672279.3899999999,1769574.7599999998,1625105.8000000000,1578977.6799999999,1680995.1599999999,1513037.2000000000,11708600.3099999987,
FS(120),1824951.1600000001,1658716.2400000000,1779183.9700000000,1592945.5600000001,1599168.4600000000,1672260.7599999998,1519534.5999999999,11646763.7500000000,
FS(121),1852745.0800000001,1697549.6799999999,1782633.4299999999,1733100.6799999999,1606483.9600000000,1689074.4799999997,1521762.2800000000,11883352.5899999999,
FS(122),1864065.3999999999,1688555.1699999999,1788054.0099999998,1719204.2800000000,1608824.9199999999,1695625.2800000000,1506539.8000000000,11870871.8599999994,
FS(123),1881637.2399999998,1682558.8299999998,1776473.6799999999,1730321.3999999999,1674079.1799999999,1687109.2400000000,1482220.9600000000,11914403.5299999993,
FS(124),1817094.5200000000,1593470.3499999999,1738036.8400000001,1775981.0000000000,1680224.2000000000,1620291.0799999998,1441008.8800000001,11666109.8699999992,
FS(125),1856884.6000000001,1629876.7000000000,1723746.2200000000,1766849.0800000001,1651254.8199999998,1653918.5199999998,1453818.0400000000,11736350.9800000004,
FS(126),1827316.6000000001,1616028.0099999998,1734587.3800000001,1744217.8000000000,1624333.7799999998,1664618.1599999999,1439338.1199999999,11650442.8499999996,
FS(127),1793017.7200000000,1613886.4600000000,1760458.3300000001,1751761.5600000001,1652717.9199999999,1677501.3999999997,1430427.3999999999,11679773.7899999991,
FS(128),1801972.6000000001,1638442.8999999999,1795445.7100000002,1770620.9600000000,1702463.3199999998,1720736.6799999999,1462543.1199999999,11892228.2900000010,
FS(129),1848943.4800000000,1639442.2899999998,1813678.5700000001,1760496.4400000002,1670567.7400000000,1741917.5999999999,1479250.7200000000,11954299.8399999999,
